# wavelength 	 flux_density
8.384730000000000700e+02 9.709800000000000000e+15
8.387050000000000409e+02 9.598120000000000000e+15
8.389370000000000118e+02 9.445590000000000000e+15
8.391699999999999591e+02 9.467570000000000000e+15
8.394019999999999300e+02 9.886330000000000000e+15
8.396340000000000146e+02 1.005630000000000000e+16
8.398670000000000755e+02 9.933480000000000000e+15
8.400990000000000464e+02 9.893370000000000000e+15
8.403310000000000173e+02 9.874510000000000000e+15
8.405629999999999882e+02 9.906980000000000000e+15
8.407959999999999354e+02 9.959930000000000000e+15
8.410280000000000200e+02 1.001020000000000000e+16
8.412599999999999909e+02 9.953790000000000000e+15
8.414919999999999618e+02 9.734290000000000000e+15
8.417249999999999091e+02 9.829180000000000000e+15
8.419569999999999936e+02 9.918470000000000000e+15
8.421889999999999645e+02 9.862670000000000000e+15
8.424220000000000255e+02 9.742740000000000000e+15
8.426539999999999964e+02 9.650370000000002000e+15
8.428859999999999673e+02 9.504930000000000000e+15
8.431180000000000518e+02 9.800870000000000000e+15
8.433500000000000227e+02 1.005070000000000000e+16
8.435829999999999700e+02 9.697970000000000000e+15
8.438149999999999409e+02 9.402380000000000000e+15
8.440470000000000255e+02 9.470810000000000000e+15
8.442789999999999964e+02 9.605380000000000000e+15
8.445120000000000573e+02 9.754940000000000000e+15
8.447440000000000282e+02 9.811910000000000000e+15
8.449759999999999991e+02 9.875430000000000000e+15
8.452079999999999700e+02 9.941460000000000000e+15
8.454399999999999409e+02 9.982820000000000000e+15
8.456720000000000255e+02 9.962990000000000000e+15
8.459049999999999727e+02 9.844620000000000000e+15
8.461370000000000573e+02 9.832670000000002000e+15
8.463690000000000282e+02 9.918990000000000000e+15
8.466009999999999991e+02 9.828300000000000000e+15
8.468329999999999700e+02 9.574310000000000000e+15
8.470649999999999409e+02 9.402160000000000000e+15
8.472980000000000018e+02 9.462900000000000000e+15
8.475299999999999727e+02 9.725720000000000000e+15
8.477620000000000573e+02 9.883280000000000000e+15
8.479940000000000282e+02 9.865510000000000000e+15
8.482259999999999991e+02 9.706610000000000000e+15
8.484580000000000837e+02 9.608990000000000000e+15
8.486900000000000546e+02 9.731040000000000000e+15
8.489219999999999118e+02 9.793270000000000000e+15
8.491549999999999727e+02 9.785520000000000000e+15
8.493870000000000573e+02 9.761520000000000000e+15
8.496190000000000282e+02 9.553030000000000000e+15
8.498509999999999991e+02 8.444580000000000000e+15
